Created Date,Record Number,Record Type,Status,Address,Property/Project Name,Description,Expiration Date,Column 1,Column 2,Latitude,Longitude,Processed_Category
12/24/2025,006698-25PA,Building & Land Use Pre-Application,Initiated,600    STEWART  ST   SEATTLE,Emery-Reddy Ofiice,"Removal of non?structural demising walls, installation of new cabinetry, and replacement of existing flooring. Work area is around 700 SF",,,,47.61404815,-122.33712577554422,Multiplex/Cluster
12/23/2025,006677-25PA,Building & Land Use Pre-Application,In Process,3239   NE  91ST  ST   SEATTLE,,"Remove existing structure, construct 3 new SFRs",,,,47.69453735,-122.29176078945557,Multiplex/Cluster
12/23/2025,006689-25PA,Building & Land Use Pre-Application,In Process,3819    33RD  AVE  W  SEATTLE,Legacy 33rd,"Construction of four single family residences, demo of existing home.",,,,47.654719650000004,-122.39980528551814,Multiplex/Cluster
12/23/2025,006693-25PA,Building & Land Use Pre-Application,In Process,7757    30TH  AVE  S  SEATTLE,Chu-Huang Residence + AADU,"application for construction permit for new single-family home + AADU and 1-car garage, on a NR-3 zoned site which currently has one existing single-family house to remain.",,,,47.532085699999996,-122.37145324242609,AADU
12/23/2025,006684-25PA,Building & Land Use Pre-Application,In Process,3712    MAGNOLIA  BLVD  W  SEATTLE,,2 lot boundary adjustment,,,,47.65341555,-122.41175051253646,Unit Lot Subdivision (ULS)
12/23/2025,006688-25PA,Building & Land Use Pre-Application,In Process,12017    10TH  AVE  NW,WW 10TH AVE HOMES,Demolish existing residence and site improvements.Construct four new primary residences and site improvements.,,,,47.716791799999996,-122.3699095559893,Multiplex/Cluster
12/22/2025,006674-25PA,Building & Land Use Pre-Application,In Process,9041    7TH  AVE  NW  SEATTLE,Shypila Residence,Construction of a second detached dwelling unit on a lot with an existing single-family house. Existing detached garage to be demolished.,,,,47.6954674,-122.36493004170552,ADU/Duplex
12/22/2025,006660-25PA,Building & Land Use Pre-Application,In Process,1208   NW  77TH  ST   SEATTLE,The Middle,Demolish existing house and construct new SFR and AADU.,,,,47.68530775,-122.37185249999999,AADU
12/22/2025,006653-25PA,Building & Land Use Pre-Application,In Process,2822   NW  92nd  ST,,"DEMOLISH EXISTING SFR, ANDCONSTRUCT TWO NEW SFR'S AND TWO NEW DUPLEX'S, WITHPARKING PER PLAN. Future ULS",,,,47.696258900000004,-122.3938937227237,Duplex + SFR
12/22/2025,006654-25PA,Building & Land Use Pre-Application,In Process,6021    48TH  AVE  SW  SEATTLE,,CONSTRUCT  (1) DUPLEX WITH (4) OPEN PARKING STALLS.  EXISTING SFR & ADU TO REMAIN,,,,47.54790885,-122.3940995822332,Duplex + SFR
12/22/2025,006658-25PA,Building & Land Use Pre-Application,In Process,13741    37TH  AVE  NE  SEATTLE,,Build a new SFR2 and SFR3. Existing SFR to remain unaltered.,,,,47.729428150000004,-122.28858199862265,Single Family Residence
12/22/2025,006652-25PA,Building & Land Use Pre-Application,In Process,3505    DENSMORE  AVE  N  SEATTLE,,"DEMOLISH EXISTING BUILDING,CONSTRUCT TWO NEW DUPLEX'S WITH PARKING PER PLAN. Future ULS",,,,47.6493976,-122.33778696343924,Unit Lot Subdivision (ULS)
12/22/2025,006662-25PA,Building & Land Use Pre-Application,In Process,13012    37TH  AVE  NE  SEATTLE,Ricardo ADU,We're proposing to build two ADU in a residential lot.,,,,47.72340245,-122.28824196487278,ADU
12/22/2025,006665-25PA,Building & Land Use Pre-Application,In Process,431   SW  thistle  ST,Thistle Development,CONSTRUCT FOUR (4) NEW UNITS ON PARCEL 'Y' OF LBA #3043410-LU & CONSTRUCT FOUR (4) NEW UNITS ON PARCEL 'Z' OF LBA #3043410-LU. EACH PARCEL WILL BE DESIGNED UNDER ONE (1) CONSTRUCTION PERMIT. OCCUPY PER PLANS. SURFACE & GARAGE PARKING PROVIDED PER PLAN. EXISTING HOUSE ON PARCEL 'X' OF LBA #3043410-LU TO REMAIN.,,,,47.5269654,-122.28034519757642,Unit Lot Subdivision (ULS)
12/22/2025,006655-25PA,Building & Land Use Pre-Application,In Process,1400    8TH  AVE  W  SEATTLE,,"KEEP EXISTING SFR, AND CONSTRUCTONE NEW SFR, WITH PARKING PER PLAN.",,,,47.63121505,-122.3673499365689,Single Family Residence
12/22/2025,006659-25PA,Building & Land Use Pre-Application,In Process,12534    NORTH PARK  AVE  N  SEATTLE,,Build (2) new SFRs. Existing SFR to remain unaltered,,,,47.720641650000005,-122.34923903809467,Multiplex/Cluster
12/21/2025,006646-25PA,Building & Land Use Pre-Application,Additional Info Requested,1635   SW  AUSTIN  ST   SEATTLE,,CONSTRUCT (4) THREE LEVEL WOOD FRAME TOWNHOUSE,,,,47.5344925,-122.356468,Townhouse
12/19/2025,006629-25PA,Building & Land Use Pre-Application,In Process,9337    BEACON  AVE  S  SEATTLE,,construct 1 SFR and 2 ADU,,,,47.517912,-122.2762835,ADU
12/19/2025,006634-25PA,Building & Land Use Pre-Application,In Process,5521    34TH  AVE  NE  SEATTLE,5521 DADU,25-0274 LeibyConstruct new 1000 sq ft detached accessory dwelling unit with attached garage.,,,,47.669216399999996,-122.2917522750815,DADU
12/19/2025,006630-25PA,Building & Land Use Pre-Application,In Process,9335    Beacon  AVE  S,,construct (1) SFR and (2) ADU,,,,47.5775857,-122.30996,ADU
12/18/2025,006619-25PA,Building & Land Use Pre-Application,Initiated,6711    Fremont  AVE  N,#324 SOMASUNDARAM BASEMENT CONVERSION TO LIVING,THIS PROJECT IS BASEMENT CONVERSION TO LIVING,,,,47.67818695,-122.35023417021876,Conversion to Residential
